faculty_id,rank,hire_date,department,salary,employment_status,tenure_status,research_focus
FAC_00000000,Assistant Professor,2004-11-02,Department of Astronomy,116967,Active,Tenure-Track,Statistics
FAC_00000001,Associate Professor,2005-08-14,Department of Mathematics,155898,Active,Tenured,Chemistry
FAC_00000002,Full Professor,2001-07-07,Marine Science Institute,257081,Active,Tenured,Astronomy
FAC_00000003,Lecturer,2012-11-10,Department of Mathematics,78326,Active,Non-Tenure-Track,Biology
FAC_00000004,Assistant Professor,2016-10-25,Department of Statistics,71622,Active,Tenure-Track,Geology
FAC_00000005,Associate Professor,2010-04-23,Department of Biology,97815,Active,Tenured,Environmental Science
FAC_00000006,Associate Professor,2017-04-19,Marine Science Institute,103690,Active,Tenured,Environmental Science
FAC_00000007,Lecturer,2012-07-12,Department of Physics,80369,Active,Non-Tenure-Track,Biology
FAC_00000008,Full Professor,2015-01-10,Department of Biology,216943,Active,Tenured,Biology
FAC_00000009,Assistant Professor,2010-11-20,Marine Science Institute,97593,Active,Tenure-Track,Statistics
FAC_00000010,Assistant Professor,2017-07-06,Department of Mathematics,79974,Active,Tenure-Track,Statistics
FAC_00000011,Assistant Professor,2016-08-07,Department of Physics,95322,Active,Tenure-Track,Astronomy
FAC_00000012,Assistant Professor,2002-03-28,Department of Biology,80082,Active,Tenure-Track,Chemistry
FAC_00000013,Associate Professor,2001-03-13,Department of Astronomy,136519,Active,Tenured,Environmental Science
FAC_00000014,Associate Professor,2000-03-14,Department of Biology,142237,Active,Tenure-Track,Neuroscience
FAC_00000015,Full Professor,2008-02-03,Department of Chemistry,229525,Active,Tenured,Chemistry
FAC_00000016,Associate Professor,2004-05-05,Department of Statistics,139258,Active,Tenured,Astronomy
FAC_00000017,Assistant Professor,2008-05-07,Department of Physics,110148,Active,Tenure-Track,Neuroscience
FAC_00000018,Associate Professor,2023-07-22,Department of Physics,100828,Active,Tenured,Neuroscience
FAC_00000019,Assistant Professor,2006-03-27,Department of Statistics,92603,Active,Tenure-Track,Neuroscience
FAC_00000020,Assistant Professor,2005-12-11,Marine Science Institute,73500,Active,Tenure-Track,Biology
FAC_00000021,Associate Professor,2018-11-18,Department of Chemistry,144777,Active,Tenured,Environmental Science
FAC_00000022,Associate Professor,2008-12-11,Department of Physics,150307,On Leave,Tenured,Mathematics
FAC_00000023,Associate Professor,2020-05-22,Department of Mathematics,125274,Active,Tenured,Environmental Science
FAC_00000024,Associate Professor,2006-03-04,Marine Science Institute,112299,Active,Tenure-Track,Geology
FAC_00000025,Associate Professor,2022-11-17,Department of Physics,108043,Active,Tenure-Track,Astronomy
FAC_00000026,Assistant Professor,2009-09-21,Department of Chemistry,82449,Active,Tenure-Track,Statistics
FAC_00000027,Assistant Professor,2010-01-18,Department of Astronomy,71793,Active,Tenure-Track,Geology
FAC_00000028,Adjunct,2006-12-16,Marine Science Institute,44585,On Leave,Non-Tenure-Track,Mathematics
FAC_00000029,Assistant Professor,2009-10-22,Department of Physics,76214,On Leave,Tenure-Track,Mathematics
FAC_00000030,Adjunct,2002-10-04,Department of Astronomy,31503,Active,Non-Tenure-Track,Marine Science
FAC_00000031,Assistant Professor,2014-12-20,Department of Statistics,101294,Active,Tenure-Track,Statistics
FAC_00000032,Assistant Professor,2015-07-05,Department of Mathematics,89648,Active,Tenure-Track,Geology
FAC_00000033,Associate Professor,2015-11-08,Department of Astronomy,131900,Active,Tenured,Marine Science
FAC_00000034,Full Professor,2006-12-10,Department of Chemistry,178915,Active,Tenured,Environmental Science
FAC_00000035,Associate Professor,2023-12-03,Department of Astronomy,137846,Active,Tenured,Neuroscience
FAC_00000036,Assistant Professor,2011-11-20,Marine Science Institute,108495,Active,Tenure-Track,Neuroscience
FAC_00000037,Full Professor,2024-10-22,Marine Science Institute,205195,Active,Tenured,Physics
FAC_00000038,Lecturer,2017-07-09,Department of Chemistry,58607,Active,Non-Tenure-Track,Astronomy
FAC_00000039,Associate Professor,2013-04-07,Marine Science Institute,123672,Active,Tenured,Neuroscience
FAC_00000040,Assistant Professor,2001-09-11,Department of Biology,117564,Active,Tenure-Track,Neuroscience
FAC_00000041,Lecturer,2016-04-05,Marine Science Institute,63669,Active,Non-Tenure-Track,Neuroscience
FAC_00000042,Assistant Professor,2017-12-10,Department of Mathematics,80346,Active,Tenure-Track,Geology
FAC_00000043,Associate Professor,2016-08-06,Department of Astronomy,105926,Active,Tenured,Geology
FAC_00000044,Adjunct,2009-06-22,Department of Statistics,35152,On Leave,Non-Tenure-Track,Environmental Science
FAC_00000045,Assistant Professor,2002-01-12,Department of Geological Sciences,117663,Active,Tenure-Track,Biology
FAC_00000046,Full Professor,2005-09-08,Department of Astronomy,135611,Active,Tenured,Statistics
FAC_00000047,Adjunct,2006-04-08,Department of Biology,48167,Active,Non-Tenure-Track,Physics
FAC_00000048,Associate Professor,2017-05-07,Department of Biology,144887,Active,Tenured,Chemistry
FAC_00000049,Adjunct,2007-01-26,Department of Astronomy,59127,Active,Non-Tenure-Track,Environmental Science
FAC_00000050,Associate Professor,2011-12-08,Department of Mathematics,130109,Active,Tenure-Track,Mathematics
FAC_00000051,Associate Professor,2012-02-03,Department of Biology,157482,Active,Tenured,Physics
FAC_00000052,Associate Professor,2000-12-27,Department of Biology,129235,Active,Tenure-Track,Astronomy
FAC_00000053,Assistant Professor,2012-06-28,Department of Statistics,95056,Active,Tenure-Track,Geology
FAC_00000054,Assistant Professor,2014-11-17,Department of Statistics,95985,Active,Tenure-Track,Physics
FAC_00000055,Full Professor,2005-08-13,Department of Physics,121786,Active,Tenured,Neuroscience
FAC_00000056,Assistant Professor,2014-01-12,Department of Astronomy,92482,Active,Tenure-Track,Neuroscience
FAC_00000057,Assistant Professor,2024-12-09,Marine Science Institute,71029,Active,Tenure-Track,Physics
FAC_00000058,Assistant Professor,2013-06-28,Department of Astronomy,103114,On Leave,Tenure-Track,Biology
FAC_00000059,Lecturer,2009-08-25,Department of Astronomy,83926,Active,Non-Tenure-Track,Astronomy
FAC_00000060,Associate Professor,2001-12-13,Department of Chemistry,131678,Active,Tenured,Mathematics
FAC_00000061,Assistant Professor,2019-12-19,Marine Science Institute,99513,Active,Tenure-Track,Astronomy
FAC_00000062,Full Professor,2017-11-09,Department of Statistics,210141,Active,Tenured,Geology
FAC_00000063,Assistant Professor,2012-08-11,Marine Science Institute,82667,Active,Tenure-Track,Geology
FAC_00000064,Associate Professor,2011-08-13,Department of Biology,138698,On Leave,Tenured,Statistics
FAC_00000065,Associate Professor,2016-10-23,Department of Astronomy,127009,Active,Tenured,Statistics
FAC_00000066,Assistant Professor,2016-12-26,Department of Biology,72165,Active,Tenure-Track,Geology
FAC_00000067,Adjunct,2007-05-24,Department of Geological Sciences,54617,Active,Non-Tenure-Track,Geology
FAC_00000068,Associate Professor,2003-11-11,Department of Physics,157813,Active,Tenured,Biology
FAC_00000069,Full Professor,2020-04-12,Department of Astronomy,126692,Active,Tenured,Astronomy
FAC_00000070,Adjunct,2011-04-14,Department of Astronomy,30753,On Leave,Non-Tenure-Track,Environmental Science
FAC_00000071,Full Professor,2001-06-19,Department of Physics,121131,Active,Tenured,Marine Science
FAC_00000072,Assistant Professor,2014-08-28,Department of Statistics,117009,Active,Tenure-Track,Marine Science
FAC_00000073,Lecturer,2022-05-13,Department of Geological Sciences,86295,Active,Non-Tenure-Track,Astronomy
FAC_00000074,Associate Professor,2014-07-24,Department of Astronomy,127520,Active,Tenured,Statistics
FAC_00000075,Full Professor,2013-10-25,Department of Physics,201676,Active,Tenured,Marine Science
FAC_00000076,Associate Professor,2017-09-13,Department of Mathematics,158848,Active,Tenured,Statistics
FAC_00000077,Assistant Professor,2011-02-14,Department of Geological Sciences,106231,Active,Tenure-Track,Marine Science
FAC_00000078,Associate Professor,2008-04-09,Department of Mathematics,98686,Active,Tenured,Environmental Science
FAC_00000079,Assistant Professor,2012-03-03,Marine Science Institute,99951,Active,Tenure-Track,Astronomy
FAC_00000080,Assistant Professor,2005-03-11,Department of Physics,102134,Active,Tenure-Track,Geology
FAC_00000081,Assistant Professor,2023-05-12,Department of Geological Sciences,80804,On Leave,Tenure-Track,Physics
FAC_00000082,Associate Professor,2002-01-18,Department of Geological Sciences,113802,Active,Tenured,Mathematics
FAC_00000083,Adjunct,2022-12-01,Department of Chemistry,35988,Active,Non-Tenure-Track,Astronomy
FAC_00000084,Lecturer,2013-10-11,Department of Geological Sciences,84116,Active,Non-Tenure-Track,Statistics
FAC_00000085,Full Professor,2013-10-10,Department of Chemistry,168086,Active,Tenured,Statistics
FAC_00000086,Assistant Professor,2016-09-03,Department of Mathematics,80959,Active,Tenure-Track,Statistics
FAC_00000087,Assistant Professor,2013-06-06,Department of Mathematics,77088,Active,Tenure-Track,Statistics
