course_id,course_code,course_title,credits,semester,year,instructor_id,enrollment,pass_rate,avg_rating
CRS_00000000,ASTR218,Astronomy 218,3,Fall,2024,FAC_00000581,169,0.978,4.5
CRS_00000001,PHYS426,Physics 426,4,Spring,2018,FAC_00000507,29,0.789,4.1
CRS_00000002,ASTR245,Astronomy 245,3,Spring,2022,FAC_00000550,77,0.836,4.3
CRS_00000003,PHYS462,Physics 462,3,Spring,2017,FAC_00000014,137,0.978,4.2
CRS_00000004,ASTR372,Astronomy 372,3,Fall,2018,FAC_00000215,34,0.763,3.6
CRS_00000005,MARIN210,Marine Science 210,3,Fall,2025,FAC_00000272,116,0.975,3.9
CRS_00000006,MARIN549,Marine Science 549,4,Fall,2016,FAC_00000221,220,0.889,3.1
CRS_00000007,MARIN307,Marine Science 307,3,Spring,2026,FAC_00000003,24,0.872,4.7
CRS_00000008,ASTR507,Astronomy 507,2,Fall,2026,FAC_00000603,227,0.754,4.5
CRS_00000009,CHEM423,Chemistry 423,3,Spring,2026,FAC_00000116,128,0.914,3.8
CRS_00000010,MATH542,Mathematics 542,3,Fall,2018,FAC_00000122,164,0.808,3.6
CRS_00000011,STAT227,Statistics 227,3,Fall,2018,FAC_00000241,167,0.917,3.3
CRS_00000012,ASTR136,Astronomy 136,3,Fall,2025,FAC_00000523,159,0.946,4.4
CRS_00000013,BIO571,Biology 571,4,Spring,2017,FAC_00000194,246,0.874,3.7
CRS_00000014,STAT232,Statistics 232,1,Summer,2023,FAC_00000605,34,0.776,4.8
CRS_00000015,ASTR266,Astronomy 266,3,Spring,2018,FAC_00000640,143,0.776,4.8
CRS_00000016,BIO472,Biology 472,3,Spring,2021,FAC_00000229,97,0.929,3.7
CRS_00000017,MATH209,Mathematics 209,4,Summer,2023,FAC_00000590,72,0.816,3.8
CRS_00000018,MATH479,Mathematics 479,2,Fall,2020,FAC_00000655,112,0.806,4.8
CRS_00000019,STAT163,Statistics 163,4,Summer,2018,FAC_00000290,34,0.825,3.5
CRS_00000020,MARIN174,Marine Science 174,4,Fall,2019,FAC_00000326,111,0.98,4.3
CRS_00000021,PHYS512,Physics 512,3,Spring,2022,FAC_00000324,17,0.872,4.1
CRS_00000022,MATH470,Mathematics 470,3,Spring,2016,FAC_00000653,236,0.952,4.6
CRS_00000023,BIO243,Biology 243,3,Spring,2016,FAC_00000486,17,0.841,3.4
CRS_00000024,ASTR304,Astronomy 304,3,Spring,2020,FAC_00000342,182,0.863,4.0
CRS_00000025,STAT507,Statistics 507,3,Spring,2021,FAC_00000108,246,0.917,4.0
CRS_00000026,CHEM235,Chemistry 235,3,Spring,2020,FAC_00000119,216,0.835,3.5
CRS_00000027,GEO150,Geology 150,3,Fall,2026,FAC_00000188,80,0.921,3.7
CRS_00000028,ASTR371,Astronomy 371,2,Fall,2026,FAC_00000515,195,0.815,3.9
CRS_00000029,STAT571,Statistics 571,1,Fall,2023,FAC_00000086,46,0.96,4.5
CRS_00000030,MARIN375,Marine Science 375,3,Fall,2017,FAC_00000430,99,0.788,4.4
CRS_00000031,MATH220,Mathematics 220,3,Spring,2017,FAC_00000062,93,0.963,4.1
CRS_00000032,BIO528,Biology 528,4,Fall,2024,FAC_00000199,222,0.785,4.2
CRS_00000033,GEO301,Geology 301,3,Fall,2016,FAC_00000402,176,0.895,4.5
CRS_00000034,MATH418,Mathematics 418,3,Fall,2018,FAC_00000059,42,0.962,4.5
CRS_00000035,STAT115,Statistics 115,4,Fall,2019,FAC_00000592,179,0.979,3.7
CRS_00000036,ASTR134,Astronomy 134,3,Spring,2023,FAC_00000505,17,0.801,4.2
CRS_00000037,CHEM124,Chemistry 124,2,Fall,2021,FAC_00000150,64,0.979,3.9
CRS_00000038,CHEM390,Chemistry 390,2,Spring,2020,FAC_00000069,119,0.829,3.6
CRS_00000039,MARIN369,Marine Science 369,4,Spring,2019,FAC_00000201,86,0.797,3.6
CRS_00000040,GEO385,Geology 385,3,Spring,2025,FAC_00000688,102,0.888,4.5
