enrollment_id,student_id,course_id,semester,year,grade,grade_point,credits_earned
ENR_0000000000,STU_00000000,CRS_00000219,Summer,2024,B+,3.08,3
ENR_0000000001,STU_00000000,CRS_00000323,Fall,2024,B+,3.01,4
ENR_0000000002,STU_00000000,CRS_00000406,Summer,2025,B,2.87,3
ENR_0000000003,STU_00000000,CRS_00000253,Summer,2022,B+,3.05,3
ENR_0000000004,STU_00000000,CRS_00000146,Spring,2025,B+,3.02,1
ENR_0000000005,STU_00000000,CRS_00000474,Spring,2025,B,2.91,3
ENR_0000000006,STU_00000000,CRS_00000485,Spring,2024,C,2.27,3
ENR_0000000007,STU_00000000,CRS_00000097,Fall,2022,B,2.98,4
ENR_0000000008,STU_00000000,CRS_00000349,Fall,2023,B-,2.39,3
ENR_0000000009,STU_00000000,CRS_00000284,Fall,2023,B-,2.63,4
ENR_0000000010,STU_00000000,CRS_00000375,Summer,2022,B-,2.58,2
ENR_0000000011,STU_00000000,CRS_00000494,Spring,2022,D,1.5,3
ENR_0000000012,STU_00000000,CRS_00000490,Fall,2025,B,2.99,4
ENR_0000000013,STU_00000000,CRS_00000054,Summer,2024,B-,2.68,3
ENR_0000000014,STU_00000000,CRS_00000208,Summer,2024,B+,3.19,3
ENR_0000000015,STU_00000000,CRS_00000008,Fall,2024,D,1.98,2
ENR_0000000016,STU_00000001,CRS_00000474,Summer,2024,A-,3.39,3
ENR_0000000017,STU_00000001,CRS_00000448,Fall,2023,B+,3.15,1
ENR_0000000018,STU_00000001,CRS_00000354,Fall,2025,B,2.98,1
ENR_0000000019,STU_00000001,CRS_00000437,Spring,2025,A-,3.51,3
ENR_0000000020,STU_00000001,CRS_00000130,Spring,2025,B+,3.29,3
ENR_0000000021,STU_00000001,CRS_00000070,Summer,2023,B-,2.68,3
ENR_0000000022,STU_00000001,CRS_00000409,Spring,2025,B,2.93,3
ENR_0000000023,STU_00000001,CRS_00000436,Spring,2024,B+,3.23,3
ENR_0000000024,STU_00000001,CRS_00000108,Spring,2024,B+,3.13,3
ENR_0000000025,STU_00000001,CRS_00000264,Fall,2025,B+,3.16,1
ENR_0000000026,STU_00000001,CRS_00000153,Spring,2025,B,2.81,3
ENR_0000000027,STU_00000001,CRS_00000024,Fall,2025,B+,3.17,3
ENR_0000000028,STU_00000002,CRS_00000110,Summer,2022,B,2.98,3
ENR_0000000029,STU_00000002,CRS_00000133,Spring,2024,A,3.97,3
ENR_0000000030,STU_00000002,CRS_00000192,Fall,2023,B+,3.16,3
ENR_0000000031,STU_00000002,CRS_00000071,Spring,2024,B-,2.51,3
ENR_0000000032,STU_00000002,CRS_00000083,Summer,2024,B-,2.5,3
ENR_0000000033,STU_00000002,CRS_00000478,Fall,2024,A-,3.59,2
ENR_0000000034,STU_00000002,CRS_00000383,Spring,2021,B-,2.45,2
ENR_0000000035,STU_00000002,CRS_00000472,Spring,2021,B+,3.23,3
ENR_0000000036,STU_00000002,CRS_00000008,Summer,2024,B+,3.02,2
ENR_0000000037,STU_00000002,CRS_00000046,Fall,2022,B-,2.65,4
ENR_0000000038,STU_00000002,CRS_00000060,Fall,2024,A-,3.42,3
ENR_0000000039,STU_00000002,CRS_00000148,Spring,2024,D,1.72,3
ENR_0000000040,STU_00000002,CRS_00000321,Spring,2021,A,3.7,3
ENR_0000000041,STU_00000002,CRS_00000401,Spring,2024,B+,3.02,3
ENR_0000000042,STU_00000002,CRS_00000161,Fall,2021,B+,3.29,2
ENR_0000000043,STU_00000002,CRS_00000484,Summer,2021,C,2.05,3
ENR_0000000044,STU_00000002,CRS_00000114,Summer,2022,A-,3.6,3
ENR_0000000045,STU_00000002,CRS_00000058,Spring,2025,B,2.99,2
ENR_0000000046,STU_00000002,CRS_00000273,Fall,2024,A,3.75,3
ENR_0000000047,STU_00000002,CRS_00000003,Fall,2023,B,2.91,3
ENR_0000000048,STU_00000004,CRS_00000297,Spring,2018,A,3.91,3
ENR_0000000049,STU_00000004,CRS_00000348,Spring,2025,A-,3.53,2
ENR_0000000050,STU_00000004,CRS_00000299,Spring,2019,A-,3.31,3
ENR_0000000051,STU_00000004,CRS_00000430,Spring,2020,B+,3.17,3
ENR_0000000052,STU_00000004,CRS_00000238,Spring,2022,B,2.94,3
ENR_0000000053,STU_00000004,CRS_00000083,Summer,2024,A-,3.51,3
ENR_0000000054,STU_00000004,CRS_00000337,Spring,2020,B,2.94,3
ENR_0000000055,STU_00000004,CRS_00000300,Summer,2025,A-,3.44,3
