grant_id,pi_id,award_amount,funding_agency,start_date,end_date,department,status,publication_count
GNT_0000000000,FAC_00000405,219437,NSF,2018-11-13,2022-11-12,College of Natural Sciences,Completed,12
GNT_0000000001,FAC_00000444,290375,Private Foundation,2018-09-22,2021-09-21,College of Natural Sciences,Completed,7
GNT_0000000002,FAC_00000644,241851,DOE,2018-06-03,2022-06-02,College of Natural Sciences,Completed,7
GNT_0000000003,FAC_00000503,1487554,DOE,2019-10-25,2020-10-24,College of Natural Sciences,Completed,18
GNT_0000000004,FAC_00000475,59333,Industrial Partner,2023-06-07,2026-06-06,College of Natural Sciences,Completed,1
GNT_0000000005,FAC_00000544,807419,USDA,2021-11-15,2023-11-15,College of Natural Sciences,Completed,20
GNT_0000000006,FAC_00000271,32359,DOC,2021-08-09,2023-08-09,College of Natural Sciences,Completed,0
GNT_0000000007,FAC_00000464,1996750,USDA,2024-10-23,2029-10-22,College of Natural Sciences,Active,102
GNT_0000000008,FAC_00000022,147413,DOC,2023-03-13,2026-03-12,College of Natural Sciences,Completed,7
GNT_0000000009,FAC_00000166,2056642,NIH,2018-07-21,2020-07-20,College of Natural Sciences,Completed,43
GNT_0000000010,FAC_00000202,215170,NSF,2024-11-07,2029-11-06,College of Natural Sciences,Active,10
GNT_0000000011,FAC_00000206,1658132,DOC,2022-03-20,2027-03-19,College of Natural Sciences,Active,75
GNT_0000000012,FAC_00000476,460123,USDA,2021-12-11,2022-12-11,College of Natural Sciences,Completed,9
GNT_0000000013,FAC_00000279,67634,NIH,2022-07-08,2025-07-07,College of Natural Sciences,Completed,3
GNT_0000000014,FAC_00000521,5000000,NIH,2019-05-06,2022-05-05,College of Natural Sciences,Completed,147
GNT_0000000015,FAC_00000665,47408,DOC,2021-08-16,2024-08-15,College of Natural Sciences,Completed,3
GNT_0000000016,FAC_00000476,166581,DOD,2022-08-11,2025-08-10,College of Natural Sciences,Completed,4
GNT_0000000017,FAC_00000273,31794,DOE,2019-03-06,2022-03-05,College of Natural Sciences,Completed,1
GNT_0000000018,FAC_00000559,172611,DOD,2022-06-19,2023-06-19,College of Natural Sciences,Completed,1
GNT_0000000019,FAC_00000165,782375,DOD,2020-03-01,2025-02-28,College of Natural Sciences,Completed,35
GNT_0000000020,FAC_00000393,128991,NSF,2024-07-03,2027-07-03,College of Natural Sciences,Active,2
GNT_0000000021,FAC_00000410,186614,DOD,2019-07-12,2020-07-11,College of Natural Sciences,Completed,0
GNT_0000000022,FAC_00000028,37374,NSF,2018-09-03,2023-09-02,College of Natural Sciences,Completed,2
GNT_0000000023,FAC_00000470,550312,DOE,2019-03-26,2020-03-25,College of Natural Sciences,Completed,6
GNT_0000000024,FAC_00000633,415173,USDA,2020-10-05,2024-10-04,College of Natural Sciences,Completed,22
GNT_0000000025,FAC_00000615,78700,Industrial Partner,2019-01-21,2022-01-20,College of Natural Sciences,Completed,2
GNT_0000000026,FAC_00000524,500283,DOD,2020-06-19,2022-06-19,College of Natural Sciences,Completed,11
GNT_0000000027,FAC_00000192,154607,NIH,2023-12-06,2026-12-05,College of Natural Sciences,Active,5
GNT_0000000028,FAC_00000392,6169,EPA,2024-03-19,2029-03-18,College of Natural Sciences,Active,1
GNT_0000000029,FAC_00000004,430861,Industrial Partner,2021-05-04,2024-05-03,College of Natural Sciences,Completed,12
GNT_0000000030,FAC_00000415,43020,NIH,2023-02-11,2025-02-10,College of Natural Sciences,Completed,1
GNT_0000000031,FAC_00000547,1107120,DOC,2024-07-07,2029-07-06,College of Natural Sciences,Active,53
GNT_0000000032,FAC_00000584,288352,DOE,2021-01-05,2024-01-05,College of Natural Sciences,Completed,10
GNT_0000000033,FAC_00000090,27158,DOE,2018-10-11,2021-10-10,College of Natural Sciences,Completed,1
GNT_0000000034,FAC_00000680,100908,DOC,2021-06-25,2026-06-24,College of Natural Sciences,Completed,2
GNT_0000000035,FAC_00000359,290863,Private Foundation,2022-11-23,2024-11-22,College of Natural Sciences,Completed,4
GNT_0000000036,FAC_00000453,3247467,DOD,2023-10-13,2027-10-12,College of Natural Sciences,Active,125
GNT_0000000037,FAC_00000253,1069831,DOC,2021-04-14,2023-04-14,College of Natural Sciences,Completed,23
GNT_0000000038,FAC_00000090,160253,USDA,2018-04-15,2020-04-14,College of Natural Sciences,Completed,1
GNT_0000000039,FAC_00000471,89294,Private Foundation,2022-11-24,2023-11-24,College of Natural Sciences,Completed,2
GNT_0000000040,FAC_00000354,207047,NSF,2019-03-21,2021-03-20,College of Natural Sciences,Completed,4
GNT_0000000041,FAC_00000626,391182,EPA,2021-07-06,2026-07-05,College of Natural Sciences,Cancelled,16
GNT_0000000042,FAC_00000580,50279,USDA,2020-10-24,2023-10-24,College of Natural Sciences,Completed,1
GNT_0000000043,FAC_00000250,147093,DOC,2020-05-22,2025-05-21,College of Natural Sciences,Cancelled,11
GNT_0000000044,FAC_00000001,583993,Private Foundation,2024-03-02,2029-03-01,College of Natural Sciences,Active,25
GNT_0000000045,FAC_00000168,525151,Private Foundation,2021-07-13,2022-07-13,College of Natural Sciences,Completed,8
GNT_0000000046,FAC_00000209,436408,NSF,2024-02-11,2028-02-10,College of Natural Sciences,Active,16
GNT_0000000047,FAC_00000359,2108771,DOD,2023-11-09,2024-11-08,College of Natural Sciences,Completed,21
GNT_0000000048,FAC_00000696,243141,DOC,2019-10-17,2022-10-16,College of Natural Sciences,Completed,4
GNT_0000000049,FAC_00000183,249235,DOE,2023-01-21,2027-01-20,College of Natural Sciences,Active,7
GNT_0000000050,FAC_00000581,1131565,Industrial Partner,2021-11-18,2023-11-18,College of Natural Sciences,Completed,31
GNT_0000000051,FAC_00000335,11093,DOE,2023-06-04,2027-06-03,College of Natural Sciences,Active,1
GNT_0000000052,FAC_00000298,2148284,Industrial Partner,2018-04-07,2020-04-06,College of Natural Sciences,Completed,41
GNT_0000000053,FAC_00000099,170054,NSF,2021-12-04,2023-12-04,College of Natural Sciences,Completed,5
GNT_0000000054,FAC_00000161,251795,DOD,2024-04-21,2028-04-20,College of Natural Sciences,Active,11
GNT_0000000055,FAC_00000302,9481,Industrial Partner,2019-09-25,2021-09-24,College of Natural Sciences,Completed,1
GNT_0000000056,FAC_00000658,29750,NIH,2022-01-02,2024-01-02,College of Natural Sciences,Completed,1
GNT_0000000057,FAC_00000284,27938,EPA,2024-05-19,2027-05-19,College of Natural Sciences,Active,2
GNT_0000000058,FAC_00000546,11669,NIH,2024-09-28,2028-09-27,College of Natural Sciences,Active,0
GNT_0000000059,FAC_00000376,225158,EPA,2023-04-23,2027-04-22,College of Natural Sciences,Active,7
GNT_0000000060,FAC_00000381,47532,Industrial Partner,2023-03-03,2025-03-02,College of Natural Sciences,Completed,0
GNT_0000000061,FAC_00000591,535270,EPA,2022-11-03,2027-11-02,College of Natural Sciences,Active,29
GNT_0000000062,FAC_00000310,3218721,EPA,2018-03-28,2021-03-27,College of Natural Sciences,Completed,90
GNT_0000000063,FAC_00000502,138015,Private Foundation,2021-03-04,2022-03-04,College of Natural Sciences,Completed,3
GNT_0000000064,FAC_00000266,82142,USDA,2023-03-26,2027-03-25,College of Natural Sciences,Active,4
GNT_0000000065,FAC_00000035,394562,EPA,2020-02-12,2024-02-11,College of Natural Sciences,Completed,19
GNT_0000000066,FAC_00000647,164485,DOE,2024-12-10,2027-12-10,College of Natural Sciences,Active,4
GNT_0000000067,FAC_00000148,314455,EPA,2024-09-22,2029-09-21,College of Natural Sciences,Active,12
GNT_0000000068,FAC_00000134,12024,Industrial Partner,2018-02-23,2021-02-22,College of Natural Sciences,Completed,1
GNT_0000000069,FAC_00000190,3236451,EPA,2023-06-18,2026-06-17,College of Natural Sciences,Completed,96
GNT_0000000070,FAC_00000499,374868,DOC,2023-03-28,2026-03-27,College of Natural Sciences,Completed,12
GNT_0000000071,FAC_00000525,206261,EPA,2024-07-18,2028-07-17,College of Natural Sciences,Active,12
GNT_0000000072,FAC_00000433,108172,NSF,2024-07-18,2029-07-17,College of Natural Sciences,Active,3
GNT_0000000073,FAC_00000116,25161,NSF,2019-08-13,2021-08-12,College of Natural Sciences,Completed,0
GNT_0000000074,FAC_00000016,98992,DOE,2024-05-01,2026-05-01,College of Natural Sciences,Completed,1
GNT_0000000075,FAC_00000201,11632,DOE,2019-02-25,2020-02-25,College of Natural Sciences,Completed,0
GNT_0000000076,FAC_00000252,35853,DOD,2018-10-04,2021-10-03,College of Natural Sciences,Completed,2
GNT_0000000077,FAC_00000524,22270,Industrial Partner,2018-09-11,2020-09-10,College of Natural Sciences,Completed,0
GNT_0000000078,FAC_00000196,144049,DOE,2024-05-18,2026-05-18,College of Natural Sciences,Completed,3
GNT_0000000079,FAC_00000657,33983,NSF,2019-09-02,2021-09-01,College of Natural Sciences,Completed,0
GNT_0000000080,FAC_00000023,22157,NIH,2021-07-10,2023-07-10,College of Natural Sciences,Completed,0
GNT_0000000081,FAC_00000362,236624,USDA,2020-05-25,2022-05-25,College of Natural Sciences,Completed,6
GNT_0000000082,FAC_00000690,59307,DOE,2024-03-27,2027-03-27,College of Natural Sciences,Active,1
GNT_0000000083,FAC_00000150,338934,Industrial Partner,2021-11-01,2026-10-31,College of Natural Sciences,Active,17
GNT_0000000084,FAC_00000167,244474,EPA,2019-01-26,2021-01-25,College of Natural Sciences,Completed,6
GNT_0000000085,FAC_00000043,26671,Industrial Partner,2018-07-06,2020-07-05,College of Natural Sciences,Completed,1
GNT_0000000086,FAC_00000385,3699453,DOE,2019-10-17,2022-10-16,College of Natural Sciences,Completed,120
